Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp248"	0.80789	19	1	2	17	534	5	223	0	3	14	534	0	0	5	0	171	52
260	0.024	0.0	kongsfjorden	"sp148"	0.81127	9	6	2	82	264	19	113	0	40	42	256	8	0	12	7	36	77
260	0.024	0.0	kongsfjorden	"sp116"	0.81089	2	4	2	13	271	9	112	0	9	4	270	1	0	4	5	1	111
260	0.024	0.0	kongsfjorden	"sp5"	0.80781	2	4	2	17	273	7	142	0	13	4	270	3	0	4	3	1	141
260	0.024	0.0	kongsfjorden	"sp125"	0.81163	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp100"	0.81032	3	3	2	8	329	6	70	0	5	3	326	3	0	6	0	3	67
260	0.024	0.0	kongsfjorden	"sp205"	0.89874	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp184"	0.74931	16	3	2	58	320	42	185	15	9	34	319	1	26	14	2	94	91
260	0.024	0.0	kongsfjorden	"sp176"	0.90022	0	59	1	226	1655	56	204	0	226	0	0	1655	0	0	56	0	204
260	0.024	0.0	kongsfjorden	"sp229"	0.67057	8	0	3	108	74	13	15	108	0	0	74	0	13	0	0	15	0
260	0.024	0.0	kongsfjorden	"sp192"	0.89887	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp234"	0.80837	1	3	2	12	107	2	105	0	9	3	106	1	0	0	2	0	105
260	0.024	0.0	kongsfjorden	"sp48"	0.81065	2	2	2	12	226	1	84	0	9	3	225	1	0	1	0	1	83
260	0.024	0.0	kongsfjorden	"sp247"	0.74104	5	14	2	145	304	34	169	36	42	67	236	68	8	3	23	2	167
260	0.024	0.0	kongsfjorden	"sp138"	0.8091	3	1	2	4	301	0	33	0	1	3	301	0	0	0	0	3	30
260	0.024	0.0	kongsfjorden	"sp82"	0.89932	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp215"	0.80905	21	7	2	169	175	11	327	0	22	147	165	10	0	0	11	210	117
260	0.024	0.0	kongsfjorden	"sp191"	0.89968	0	169	1	413	13956	240	486	0	413	0	0	13956	0	0	240	0	486
260	0.024	0.0	kongsfjorden	"sp10"	0.81167	2	0	2	0	226	0	1	0	0	0	226	0	0	0	0	1	0
260	0.024	0.0	kongsfjorden	"sp232"	0.79496	25	4	2	86	588	45	398	0	13	73	586	2	14	27	4	286	112
260	0.024	0.0	kongsfjorden	"sp77"	0.80974	2	4	2	22	273	7	136	0	18	4	270	3	0	4	3	1	135
260	0.024	0.0	kongsfjorden	"sp47"	0.89955	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp66"	0.81007	2	5	2	11	272	12	108	0	9	2	266	6	0	8	4	1	107
260	0.024	0.0	kongsfjorden	"sp220"	0.8985	0	107	1	212	5487	184	345	0	212	0	0	5487	0	0	184	0	345
260	0.024	0.0	kongsfjorden	"sp120"	0.8114	1	1	2	2	168	0	30	0	1	1	168	0	0	0	0	0	30
260	0.024	0.0	kongsfjorden	"sp233"	0.81018	3	3	2	15	327	8	44	0	14	1	324	3	0	8	0	3	41
260	0.024	0.0	kongsfjorden	"sp178"	0.89833	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp180"	0.8102	2	2	2	11	227	0	35	0	7	4	226	1	0	0	0	1	34
260	0.024	0.0	kongsfjorden	"sp57"	0.80883	1	2	2	6	168	1	55	0	5	1	167	1	0	1	0	0	55
260	0.024	0.0	kongsfjorden	"sp211"	0.8085	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp199"	0.89904	0	7	1	58	17	4	147	0	58	0	0	17	0	0	4	0	147
260	0.024	0.0	kongsfjorden	"sp37"	0.61853	3	0	4	37	34	3	0	37	0	0	34	0	3	0	0	0	0
260	0.024	0.0	kongsfjorden	"sp122"	0.69166	6	5	3	73	58	19	165	51	2	20	57	1	0	10	9	15	150
260	0.024	0.0	kongsfjorden	"sp155"	0.80988	2	4	2	12	232	0	31	0	4	8	226	6	0	0	0	1	30
260	0.024	0.0	kongsfjorden	"sp87"	0.63977	26	0	3	400	60	85	240	400	0	0	60	0	85	0	0	240	0
260	0.024	0.0	kongsfjorden	"sp130"	0.72437	28	6	3	231	32	23	539	71	0	160	30	2	2	8	13	376	163
260	0.024	0.0	kongsfjorden	"sp115"	0.90178	0	23	1	49	239	14	423	0	49	0	0	239	0	0	14	0	423
260	0.024	0.0	kongsfjorden	"sp4"	0.66151	5	0	3	37	59	4	6	37	0	0	59	0	4	0	0	6	0
