"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"16" "50" "0.06" "0" "Omnivory" "-0.531473777220789"
"16" "50" "0.06" "0" "Chain" "0.18939823123013"
"16" "50" "0.06" "0" "Apparent" "-0.243226597152525"
"16" "50" "0.06" "0" "Direct" "0.691938089181474"
"16" "50" "0.06" "0.2" "Omnivory" "-0.574402903616994"
"16" "50" "0.06" "0.2" "Chain" "0.175752597096881"
"16" "50" "0.06" "0.2" "Apparent" "-0.171995490587172"
"16" "50" "0.06" "0.2" "Direct" "0.627970299764244"
"16" "50" "0.06" "0.4" "Omnivory" "-0.576060822998344"
"16" "50" "0.06" "0.4" "Chain" "0.124188062642648"
"16" "50" "0.06" "0.4" "Apparent" "-0.109036862347394"
"16" "50" "0.06" "0.4" "Direct" "0.595065182556387"
"16" "50" "0.06" "0.6" "Omnivory" "-0.528510433838959"
"16" "50" "0.06" "0.6" "Chain" "0.0292625014017826"
"16" "50" "0.06" "0.6" "Apparent" "-0.046189292412978"
"16" "50" "0.06" "0.6" "Direct" "0.580132392619521"
"16" "50" "0.06" "0.8" "Omnivory" "-0.487648134061318"
"16" "50" "0.06" "0.8" "Chain" "-0.0744770272188078"
"16" "50" "0.06" "0.8" "Apparent" "0.0139245829093782"
"16" "50" "0.06" "0.8" "Direct" "0.591676884883724"
"16" "50" "0.06" "1" "Omnivory" "-0.439981617706309"
"16" "50" "0.06" "1" "Chain" "-0.194115518361997"
"16" "50" "0.06" "1" "Apparent" "0.0791401431037407"
"16" "50" "0.06" "1" "Direct" "0.611039671704257"
"17" "50" "0.02" "0" "Omnivory" "-0.0892467595270408"
"17" "50" "0.02" "0" "Chain" "0.110536393205411"
"17" "50" "0.02" "0" "Apparent" "-0.289940678636714"
"17" "50" "0.02" "0" "Direct" "0.540249845728356"
"17" "50" "0.02" "0.2" "Omnivory" "-0.19024515616821"
"17" "50" "0.02" "0.2" "Chain" "0.0713076605640441"
"17" "50" "0.02" "0.2" "Apparent" "-0.177954782208152"
"17" "50" "0.02" "0.2" "Direct" "0.44529723015961"
"17" "50" "0.02" "0.4" "Omnivory" "-0.252554495741833"
"17" "50" "0.02" "0.4" "Chain" "0.00311580802418234"
"17" "50" "0.02" "0.4" "Apparent" "-0.0833405102528422"
"17" "50" "0.02" "0.4" "Direct" "0.397745433726309"
"17" "50" "0.02" "0.6" "Omnivory" "-0.293962473799241"
"17" "50" "0.02" "0.6" "Chain" "-0.0865447860678753"
"17" "50" "0.02" "0.6" "Apparent" "0.0101250426651406"
"17" "50" "0.02" "0.6" "Direct" "0.366271493842514"
"17" "50" "0.02" "0.8" "Omnivory" "-0.319529737400396"
"17" "50" "0.02" "0.8" "Chain" "-0.190741940471959"
"17" "50" "0.02" "0.8" "Apparent" "0.09583180109239"
"17" "50" "0.02" "0.8" "Direct" "0.357284638067983"
"17" "50" "0.02" "1" "Omnivory" "-0.335157110352904"
"17" "50" "0.02" "1" "Chain" "-0.296769710263363"
"17" "50" "0.02" "1" "Apparent" "0.180200583020009"
"17" "50" "0.02" "1" "Direct" "0.342351004738549"
"18" "50" "0.02" "0" "Omnivory" "-0.00712452543516449"
